<Feature Name>,<Feature Type>,Name,Nam_XD,Vi_tri,Quy_mo,Van_hanh,Luu_luong,CD_day,<Feature Description>,<Feature Layer Name>,<Index in Layer>,<Last Modified Time>
C . Giáo Dý?ng,Unknown Point Feature,C . Giáo Dý?ng,1956,Km 6.35 ( Ðê H?u Kinh Th?y),1 c?a (1.1*2.7),T?i : .,1.2 m3/s,cos 0.5,Unknown Point Feature,Cong.shp,2,2020-06-30T22:30:30
C . Tân Dýõng,Unknown Point Feature,C . Tân Dýõng,1961,Km 24.9,1 c?a (2*2.6),T?i T5T.,1.7 m3/s,cos 0.0,Unknown Point Feature,Cong.shp,32,2020-06-30T22:30:30
"C, Hàm ?ch",Unknown Point Feature,"C, Hàm ?ch",1966,Km 0.1 ( Ðê H?u Ðá B?c),1 c?a (3.0*4.5),T?i : TÐ5T *2.,10.0 m3/s,cos - 1.5,Unknown Point Feature,Cong.shp,68,2020-06-30T22:30:30
C. 2-9,Unknown Point Feature,C. 2-9,1960,Km : 13.74,3 C?a ( 1.6*4.2),T?i V2 *3,4.5 m3/s,Cos - 0.6,Unknown Point Feature,Cong.shp,19,2020-06-30T22:30:30
C. An Sõn 1,Unknown Point Feature,C. An Sõn 1,1956,Km : 2.42,5 c?a ( 2.0*2.9) cos -1.0,T?i ði?n TD6T * 2,20m3/s,cos -1.0,Unknown Point Feature,Cong.shp,8,2020-06-30T22:30:30
C. An Sõn 2,Unknown Point Feature,C. An Sõn 2,1983,Km 2.25,5 c?a( 4(2.5*4)+1(6.0*4),T?i ði?n : TÐ6T * 3,??m3/s,cos -2.0,Unknown Point Feature,Cong.shp,7,2020-06-30T22:30:30
C. Ao La,Unknown Point Feature,C. Ao La,1994,Km 5.0 ( Ðê h?u Sông Th?i),1 c?a (1.1*2.0),T?i : V2.,1.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,75,2020-06-30T22:30:30
C. B?i Mu?i,Unknown Point Feature,C. B?i Mu?i,2014,Km 5.45 ( Ðê bi?n B?ch Ð?ng),"1 c?a (1.0*1.7), Cánh COMPOSITE",T?i : V2,3.9 m3/s,cos ...,Unknown Point Feature,Cong.shp,76,2020-06-30T22:30:30
C. B?n Ð?,Unknown Point Feature,C. B?n Ð?,1956,Km : 18.8,1 C?a ( 0.8*1.9),T?i,1.2 m3/s,Cos 0.0,Unknown Point Feature,Cong.shp,23,2020-06-30T22:30:30
C. Bính Ð?ng,Unknown Point Feature,C. Bính Ð?ng,1992,Km 23.24,"Kh?u ð? : 21.0m,6 c?a (5(3.0*4.0)+1(6.0*4.0)",T?i TD5T*4 .,33.8 m3/s,Cos ðáy : -1.5 m,Unknown Point Feature,Cong.shp,28,2020-06-30T22:30:30
C. C? Ng?a,Unknown Point Feature,C. C? Ng?a,1957,Km 0.18,"Dài thân c?ng : 6.0m, 1c?a (1.45*2.5)",máy V2,??m3/s,cos - 1.5,Unknown Point Feature,Cong.shp,6,2020-06-30T22:30:30
C. C?n,Unknown Point Feature,C. C?n,1990,Km 22.39,1 c?a (0.6*1.2),T?i : Phai.,0.8 m3/s,cos 0.5,Unknown Point Feature,Cong.shp,27,2020-06-30T22:30:30
